Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
92,4878.071234129428,228048.91504631896,0.0,0.0,9299,45,6198.952984057139,0.2263599634170532,61.33161366859244
93,4862.9075822792365,230476.0375521801,0.0,0.0,9399,44,6407.437959592201,0.2083600163459777,65.57074270469788
94,4856.851909875753,232903.1874990744,0.0,0.0,9499,42,6688.995641365069,0.1903600096702575,70.69637011366319
95,4839.820759913418,235330.18662165743,0.0,0.0,9599,34,6595.008280049267,0.1723600029945373,90.53442114474498
96,4857.590654388245,237757.2227793872,0.0,0.0,9699,41,6454.804285954311,0.1543599963188171,71.89680990233035
97,4862.337866708345,240184.34327947657,0.0,0.0,9799,46,6423.420599866807,0.1363599896430969,66.72449640317127
98,3975.078973186086,242602.58335505088,0.0,0.0,9881,32,6153.41827423998,0.1215999722480773,78.56408032300169
99,4828.409335806297,240224.8416148584,0.0,0.0,9980,47,6489.013215882199,0.1037799715995788,57.00378792976065
100,4851.806277043143,237942.22155543265,0.0,0.0,10080,40,6515.67472133535,0.0999703779816627,74.12901750783013
101,4845.889512365788,235751.86747278343,0.0,0.0,10180,38,6497.628465378559,0.0999328792095184,80.49925286036047
102,4857.327808685266,233651.20305978457,0.0,0.0,10280,44,6230.781045228032,0.0998953729867935,69.75475918518259
103,4853.826644892975,231637.60744939043,0.0,0.0,10380,41,6248.205672203547,0.0998578742146492,75.88912397869895
104,4857.088644183255,229708.6240281865,0.0,0.0,10480,44,6533.199623888011,0.0998203754425048,68.42871436017285
105,4855.282872537369,227861.84107599148,0.0,0.0,10580,43,6420.765646470582,0.0997828766703605,70.11238788387371
106,4842.7420618209,226094.8367029199,0.0,0.0,10680,36,6117.682163823376,0.0997453778982162,82.16633323551085
107,4852.458002597159,224405.48479974407,0.0,0.0,10780,42,6062.480759609502,0.0997078791260719,74.91868334079031
108,4849.846995910142,222791.6241883321,0.0,0.0,10880,39,6259.097185820484,0.099670372903347,79.49328980989819
109,4845.86177227876,221251.15978596656,0.0,0.0,10980,36,6596.96934905348,0.0996328741312027,87.5703457828614
110,4860.073260152698,219782.23594274413,0.0,0.0,11080,43,6375.251696399187,0.0995953753590583,69.96087024380067
111,4868.565389163116,218383.01221626817,0.0,0.0,11180,47,6675.268672934787,0.099557876586914,62.47037959444548
112,4851.104081674966,217051.4836361164,0.0,0.0,11280,43,6311.981768514644,0.0995203778147697,73.70468636103743
113,4852.726499472774,215785.88298280467,0.0,0.0,11380,40,6152.474548410283,0.0994828790426254,74.146345739368
114,4850.090471240139,214584.46747538744,0.0,0.0,11480,38,6398.773669474076,0.0994453728199005,72.9105913023582
115,4892.970571557744,213445.94680923223,0.0,0.0,11580,52,6553.607912380111,0.0994078740477562,50.14039559714575
116,4845.435062996403,212368.3020097036,0.0,0.0,11680,40,6146.316650124008,0.0993703752756118,80.58587139631636
117,4836.603095495462,211349.91053809485,0.0,0.0,11780,36,6026.013833621943,0.0993328765034675,88.30084351405498
118,4860.337972121197,210389.4780657747,0.0,0.0,11880,45,6530.705393921526,0.0992953777313232,66.59197293311607
119,4850.789922530748,209485.47605068097,0.0,0.0,11980,41,6232.761853726553,0.0992578789591789,72.3377156153191
120,4852.241179660603,208636.51738442897,0.0,0.0,12080,40,6430.999593385343,0.0992203801870346,75.59730204262397
121,4863.173989624382,207841.3381552436,0.0,0.0,12180,43,6516.527819327288,0.0991828739643096,65.22498115488169
122,4853.398689474197,207098.54719555288,0.0,0.0,12280,41,6582.983859304825,0.0991453751921653,72.79440089802026
123,4869.639736611556,206407.00802341048,0.0,0.0,12380,47,6517.098059789805,0.099107876420021,62.14310846894303
124,4855.516581865406,205765.3776106773,0.0,0.0,12480,43,6389.458420527986,0.0990703776478767,69.50214280589988
125,4868.553174208835,205172.57111857645,0.0,0.0,12580,44,6135.742819310018,0.0990328788757324,62.464970348680666
126,4851.793989815109,204627.3032640663,0.0,0.0,12680,41,6220.018006504682,0.0989953801035881,74.00963485729774
127,4863.1665493645705,204128.54870844976,0.0,0.0,12780,47,6637.040896346482,0.0989578738808631,63.023793082692016
