Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
67,4817.236767269613,166119.27205544958,43.31901931762695,46.27317810058594,6799,41,5639.077426205098,0.676360011100769,137.53847380988043
68,4819.293666801066,168528.30291165746,44.2436637878418,41.57160186767578,6899,45,4938.36158158246,0.6583600044250488,109.74136847961022
69,4833.119463215116,170937.54887859107,47.46450805664063,40.38175964355469,6999,48,4883.614338604093,0.6403599977493286,101.74196538758528
70,4829.493463764142,173346.94979665,42.2055778503418,43.74393081665039,7099,47,5240.53335372539,0.6223599910736084,111.5007096537317
71,4818.568273980811,175756.34747079035,46.3515853881836,45.98931503295898,7199,43,5178.881522543263,0.6043599843978882,120.43910517542471
72,4797.992547687958,178165.46017505956,42.8765869140625,48.75105285644531,7299,42,6473.804743881046,0.586359977722168,154.13820818764395
73,4802.782448161743,180574.36419067503,40.93721771240234,53.820404052734375,7399,36,5119.826195047121,0.5683599710464478,142.21739430686446
74,4810.342204134096,182983.16866192923,48.958438873291016,43.60404968261719,7499,45,5845.679948928184,0.5503599643707275,129.90399886507075
75,4814.4356152658,185391.9313788776,43.879844665527344,47.863319396972656,7599,43,5615.862856600084,0.5323599576950073,130.60146178139732
76,4817.564536305203,187800.6946036494,43.70124053955078,47.91432571411133,7699,45,5574.213370470621,0.5143599510192871,123.87140823268048
77,4826.01927473041,190209.56671079545,44.22844696044922,40.052207946777344,7799,49,5721.756382203079,0.4963600039482116,116.77053841230772
78,4821.984587499406,192618.4924935517,40.018497467041016,44.12827682495117,7899,43,5163.464782597672,0.4783599972724914,120.08057633948074
79,4820.491912236088,195027.451280642,44.6056022644043,51.086891174316406,7999,40,4869.844832878443,0.4603599905967712,121.74612082196109
80,4807.428978984011,197436.2805789027,43.225528717041016,51.74724960327149,8099,41,5936.889765772386,0.442359983921051,144.8021894090826
81,4808.416234341566,199844.99716542952,42.954010009765625,43.949974060058594,8199,41,5630.2946567477775,0.4243599772453308,137.3242599206775
82,4810.266707817558,202253.6274090017,45.019229888916016,36.16595077514648,8299,40,5361.168353127025,0.4063599705696106,134.02920882817563
83,4833.457405341382,204662.45047302856,42.157859802246094,47.658935546875,8399,48,4968.898734302085,0.3883599638938904,103.51872363129344
84,4820.260090717231,207071.3042895574,49.20922470092773,32.25336837768555,8499,43,5145.191696937487,0.3703600168228149,119.65562085901132
85,4815.535208146262,209480.13284533145,46.77900695800781,37.97799301147461,8599,43,5200.448256427306,0.3523600101470947,120.9406571262164
86,4828.146158608375,211889.0819648648,42.37405776977539,47.30381774902344,8699,47,5373.950437345426,0.3343600034713745,114.33937100734948
87,4813.501075086242,214297.9811166256,43.27978897094727,43.36774826049805,8799,41,5357.70901247079,0.3163599967956543,130.6758295724583
88,4814.193402995996,216706.8397638861,42.69864654541016,48.29381942749024,8899,45,5721.172742203285,0.2983599901199341,127.1371720489619
89,4813.907213483122,219115.6560769129,42.489139556884766,43.39497375488281,8999,41,5473.986683411582,0.2803599834442138,133.51187032711175
90,4793.643710114469,221524.20877547885,40.68287658691406,51.73456954956055,9099,37,5978.295692036336,0.2623599767684936,161.5755592442253
91,4837.7409626900335,223932.9857736704,39.35718536376953,38.383277893066406,9199,47,4724.298120170832,0.2443599700927734,100.51698128023048
92,4833.811118180165,226341.9375796232,41.4229850769043,43.7036247253418,9299,48,5106.863500662672,0.2263599634170532,106.392989597139
